Device Info:
Type:,Intel RealSense D455
HW Id:,0B5C
Serial Num:,146222250580
Firmware Ver:,5.17.0.10

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,848x480,90
Infrared 1,Y8,848x480,90

Environment:
Plane-Fit_distance_mm,1526.154297
Ground-Truth_Distance_mm,N/A

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error pixel,Temporal Noise %,Plane Fit RMS Error mm ,
0,301,482998.8100,100.0000,,0.3586,0.0407,0.2098,5.4636,
1,1969,483112.5622,100.0000,,0.3663,0.0415,0.2106,5.5804,
2,1978,483227.2205,100.0000,,0.3510,0.0400,0.2112,5.3506,
3,1987,483349.0205,100.0000,,0.3739,0.0427,0.2103,5.6994,
4,2001,483468.1072,100.0000,,0.3791,0.0428,0.2106,5.7799,
5,2010,483585.8454,100.0000,,0.3739,0.0426,0.2107,5.7017,
6,2020,483701.7994,100.0000,,0.3679,0.0415,0.2045,5.6111,
7,2031,483815.6797,100.0000,,0.3932,0.0451,0.2045,5.9927,
8,2041,483934.5811,100.0000,,0.3698,0.0420,0.2046,5.6359,
9,2050,484055.2024,100.0000,,0.3729,0.0420,0.2040,5.6828,
10,2063,484174.9002,100.0000,,0.3739,0.0426,0.2043,5.6980,
11,2073,484295.5327,100.0000,,0.3734,0.0423,0.2037,5.6900,
12,2082,484416.4119,100.0000,,0.3530,0.0400,0.2025,5.3804,
13,2095,484536.0862,100.0000,,0.3780,0.0428,0.2030,5.7628,
14,2106,484653.7749,100.0000,,0.3660,0.0412,0.2033,5.5798,
15,2114,484772.6629,100.0000,,0.3684,0.0416,0.2024,5.6163,
16,2127,484892.5353,100.0000,,0.3433,0.0384,0.2032,5.2349,
17,2136,485008.2481,100.0000,,0.3647,0.0410,0.2034,5.5598,
18,2148,485126.9992,100.0000,,0.3684,0.0415,0.2040,5.6164,
19,2157,485246.0814,100.0000,,0.3708,0.0420,0.2048,5.6501,
20,2169,485365.7648,100.0000,,0.3748,0.0426,0.2039,5.7119,
21,2178,485484.7404,100.0000,,0.3776,0.0428,0.2042,5.7572,
22,2191,485603.2753,100.0000,,0.3635,0.0408,0.2045,5.5423,
23,2202,485722.4866,100.0000,,0.3638,0.0410,0.2042,5.5475,
24,2212,485835.0704,100.0000,,0.3711,0.0421,0.2033,5.6544,
