Device Info:
Type:,Intel RealSense D455
HW Id:,0B5C
Serial Num:,146222250580
Firmware Ver:,5.17.0.10

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,848x480,30
Infrared 1,Y8,848x480,30

Environment:
Plane-Fit_distance_mm,1523.026001
Ground-Truth_Distance_mm,N/A

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error pixel,Temporal Noise %,Plane Fit RMS Error mm ,
0,12143,433266.4658,100.0000,,0.3699,0.0422,0.1993,5.6346,
1,12987,433385.8438,100.0000,,0.3755,0.0433,0.1994,5.7198,
2,12990,433503.9322,100.0000,,0.3734,0.0421,0.1995,5.6853,
3,12993,433619.6441,100.0000,,0.3500,0.0393,0.1995,5.3306,
4,12996,433740.5589,100.0000,,0.3377,0.0380,0.1995,5.1407,
5,12999,433859.5725,100.0000,,0.3317,0.0374,0.1993,5.0516,
6,13002,433974.4664,100.0000,,0.3482,0.0392,0.1985,5.3019,
7,13005,434091.0951,100.0000,,0.3625,0.0411,0.1988,5.5204,
8,13008,434210.7253,100.0000,,0.3741,0.0425,0.1996,5.6967,
9,13011,434331.3546,100.0000,,0.3562,0.0403,0.2006,5.4230,
10,13016,434441.9954,100.0000,,0.3491,0.0398,0.2007,5.3171,
11,13018,434562.4937,100.0000,,0.3652,0.0414,0.2003,5.5628,
12,13022,434679.2437,100.0000,,0.3443,0.0391,0.2000,5.2424,
13,13025,434798.3287,100.0000,,0.3464,0.0394,0.1988,5.2728,
14,13029,434916.8841,100.0000,,0.3613,0.0411,0.1989,5.4987,
15,13032,435037.4687,100.0000,,0.3715,0.0422,0.1992,5.6552,
16,13036,435155.9483,100.0000,,0.3570,0.0404,0.1993,5.4357,
17,13039,435271.8945,100.0000,,0.3695,0.0423,0.1984,5.6243,
18,13043,435392.2732,100.0000,,0.3936,0.0449,0.1985,5.9936,
19,13047,435511.0005,100.0000,,0.3520,0.0399,0.1988,5.3581,
20,13050,435623.3790,100.0000,,0.3449,0.0391,0.1994,5.2518,
21,13053,435742.4494,100.0000,,0.3366,0.0381,0.1997,5.1252,
22,13057,435861.9522,100.0000,,0.3638,0.0413,0.1998,5.5397,
23,13060,435981.4431,100.0000,,0.3669,0.0416,0.2010,5.5877,
24,13064,436099.5985,100.0000,,0.3658,0.0415,0.2011,5.5676,
25,13067,436218.4881,100.0000,,0.3612,0.0410,0.2012,5.5014,
26,13072,436333.7055,100.0000,,0.3630,0.0413,0.2015,5.5279,
27,13075,436442.1568,100.0000,,0.3692,0.0420,0.2021,5.6209,
28,13077,436562.1298,100.0000,,0.3653,0.0413,0.2022,5.5654,
29,13082,436681.1799,100.0000,,0.3624,0.0410,0.2026,5.5204,
30,13085,436799.0528,100.0000,,0.3640,0.0415,0.2024,5.5412,
31,13089,436918.0734,100.0000,,0.3622,0.0410,0.2014,5.5155,
32,13092,437035.8411,100.0000,,0.3613,0.0409,0.2016,5.5047,
33,13096,437157.2850,100.0000,,0.3665,0.0418,0.2022,5.5820,
34,13099,437276.8506,100.0000,,0.3691,0.0421,0.2022,5.6196,
35,13102,437398.2959,100.0000,,0.3412,0.0385,0.2020,5.1945,
36,13107,437518.2579,100.0000,,0.3590,0.0407,0.2017,5.4667,
37,13110,437627.3049,100.0000,,0.3643,0.0415,0.2014,5.5485,
38,13113,437745.7847,100.0000,,0.3604,0.0407,0.2013,5.4905,
39,13117,437859.0434,100.0000,,0.3570,0.0403,0.2009,5.4375,
40,13120,437978.7405,100.0000,,0.3425,0.0387,0.2004,5.2146,
41,13124,438099.6442,100.0000,,0.3699,0.0419,0.2011,5.6305,
42,13127,438220.4894,100.0000,,0.3696,0.0424,0.2013,5.6261,
43,13131,438340.8723,100.0000,,0.3706,0.0419,0.2008,5.6414,
44,13135,438450.2361,100.0000,,0.3429,0.0388,0.2017,5.2225,
45,13137,438574.1567,100.0000,,0.3423,0.0389,0.2021,5.2117,
46,13142,438693.0231,100.0000,,0.3682,0.0419,0.2026,5.6053,
47,13145,438805.0285,100.0000,,0.3453,0.0392,0.2014,5.2584,
48,13149,438926.1861,100.0000,,0.3482,0.0393,0.2012,5.3015,
49,13152,439040.4203,100.0000,,0.3366,0.0377,0.2009,5.1247,
50,13156,439160.7957,100.0000,,0.3572,0.0402,0.2010,5.4394,
51,13159,439275.4800,100.0000,,0.3634,0.0415,0.2017,5.5336,
52,13162,439392.3952,100.0000,,0.3749,0.0423,0.2024,5.7119,
53,13167,439510.9802,100.0000,,0.3705,0.0421,0.2033,5.6408,
54,13170,439622.9198,100.0000,,0.3396,0.0379,0.2029,5.1712,
55,13173,439742.7308,100.0000,,0.3504,0.0396,0.2019,5.3355,
56,13177,439858.6780,100.0000,,0.3380,0.0381,0.2014,5.1481,
57,13180,439977.3879,100.0000,,0.3446,0.0390,0.2003,5.2489,
58,13184,440094.5189,100.0000,,0.3568,0.0405,0.2004,5.4330,
59,13187,440215.4930,100.0000,,0.3795,0.0438,0.2003,5.7768,
60,13191,440339.0598,100.0000,,0.3534,0.0405,0.2005,5.3805,
61,13195,440447.8815,100.0000,,0.3473,0.0395,0.2006,5.2896,
62,13199,440564.3040,100.0000,,0.3443,0.0390,0.2008,5.2442,
63,13201,440692.6472,100.0000,,0.3701,0.0417,0.2009,5.6392,
64,13205,440814.1981,100.0000,,0.3687,0.0418,0.2010,5.6126,
